07/20/2011 17:58:36 - night_darkness[0]: @effect 334
07/20/2011 17:58:41 - night_darkness[0]: @effect 334
07/20/2011 17:58:43 - night_darkness[0]: @effect 334
07/20/2011 17:58:56 - night_darkness[0]: @effect 334
07/20/2011 17:59:09 - night_darkness[0]: @effect 334
07/20/2011 17:59:52 - Maximus[2000000]: @reloadscript
07/20/2011 17:59:52 - Epsensius[2000004]: @warp lavive_06 64 40
07/20/2011 18:00:07 - Maximus[2000000]: @effect 334
07/20/2011 18:00:10 - Maximus[2000000]: @battleignore
07/20/2011 18:00:23 - Epsensius[2000004]: @warp lavive_06 61 48
07/20/2011 18:00:24 - Maximus[2000000]: @speed 0
07/20/2011 18:00:53 - Epsensius[2000004]: @warp lavive_04 19 60
07/20/2011 18:00:57 - night_darkness[0]: @effect 334
07/20/2011 18:01:11 - Maximus[2000000]: @raise
07/20/2011 18:01:19 - Epsensius[2000004]: @warp lavive_08 29 10
07/20/2011 18:01:41 - Maximus[2000000]: @killmonster2
07/20/2011 18:01:45 - Maximus[2000000]: @killmonster2
07/20/2011 18:01:47 - Epsensius[2000004]: @warp lavive_05 67 20
07/20/2011 18:01:47 - Maximus[2000000]: @raise
07/20/2011 18:01:54 - Maximus[2000000]: @killmonster2
07/20/2011 18:02:03 - Epsensius[2000004]: @warp lavive_05 67 22
07/20/2011 18:02:07 - night_darkness[0]: @effect 334
07/20/2011 18:02:55 - Maximus[2000000]: @killmonster2
07/20/2011 18:02:57 - night_darkness[0]: @effect 334
07/20/2011 18:03:11 - Epsensius[2000004]: @warp lavive_03 52 23
07/20/2011 18:03:14 - Jessica[2000005]: @warp
07/20/2011 18:03:15 - Jessica[2000005]: @hide
07/20/2011 18:03:17 - Maximus[2000000]: @jump
07/20/2011 18:03:19 - Jessica[2000005]: @warp lavive_03
07/20/2011 18:03:28 - Epsensius[2000004]: @warp lavive_03 65 26
07/20/2011 18:03:45 - Jessica[2000005]: /b Jessica: We should discuss what we want/are planning to do with Oplex
07/20/2011 18:03:47 - Epsensius[2000004]: @warp lavive_03 52 20
07/20/2011 18:03:48 - Jessica[2000005]: /b Jessica: either on here
07/20/2011 18:03:52 - Jessica[2000005]: /b Jessica: or on Facebook.
07/20/2011 18:04:07 - night_darkness[0]: @effect 334
07/20/2011 18:04:11 - Maximus[2000000]: @kami facebook pl0x
07/20/2011 18:04:33 - Epsensius[2000004]: @broadcast you guys can go on and start ill join in as soon as i have 
07/20/2011 18:04:37 - Jessica[2000005]: @warp lavive_03
07/20/2011 18:04:40 - Jessica[2000005]: @warp lavive_04
07/20/2011 18:04:40 - Epsensius[2000004]: @broadcast fixed the warps
07/20/2011 18:04:57 - night_darkness[0]: @effect 334
07/20/2011 18:05:03 - Epsensius[2000004]: @warp lavive_03 30 20
07/20/2011 18:05:11 - Jessica[2000005]: @warp lavive_05
07/20/2011 18:05:42 - Epsensius[2000004]: @warp lavive_03 30 60
07/20/2011 18:05:48 - Epsensius[2000004]: @warp lavive_03 30 62
07/20/2011 18:06:07 - night_darkness[0]: @effect 334
07/20/2011 18:06:17 - Jessica[2000005]: @warp lavive_06
07/20/2011 18:06:34 - Jessica[2000005]: @warp lavive_01
07/20/2011 18:06:45 - Epsensius[2000004]: @warp lavive_03 30 51
07/20/2011 18:06:57 - night_darkness[0]: @effect 334
07/20/2011 18:06:58 - Epsensius[2000004]: @warp lavive_03 30 58
07/20/2011 18:07:02 - Epsensius[2000004]: @warp lavive_03 30 62
07/20/2011 18:07:10 - Epsensius[2000004]: @warp lavive_03 30 40
07/20/2011 18:07:13 - Epsensius[2000004]: @warp lavive_03 30 64
07/20/2011 18:07:25 - Epsensius[2000004]: @warp lavive_03 30 62
07/20/2011 18:07:29 - Jessica[2000005]: @spawn zombie_01
07/20/2011 18:07:35 - Epsensius[2000004]: @warp lavive_03 28 64
07/20/2011 18:07:42 - Jessica[2000005]: @spawn undead
07/20/2011 18:07:45 - Jessica[2000005]: @spawn undead_01
07/20/2011 18:07:47 - Jessica[2000005]: @spawn undead01
07/20/2011 18:08:07 - night_darkness[0]: @effect 334
07/20/2011 18:08:57 - night_darkness[0]: @effect 334
07/20/2011 18:10:06 - Epsensius[2000004]: @warp lavive_03 65 90
07/20/2011 18:10:07 - night_darkness[0]: @effect 334
07/20/2011 18:10:57 - Jessica[2000005]: @spawn 1287
07/20/2011 18:10:57 - night_darkness[0]: @effect 334
07/20/2011 18:11:03 - Jessica[2000005]: @spawn 1288
07/20/2011 18:11:22 - Jessica[2000005]: @spawn 1000
07/20/2011 18:11:28 - Jessica[2000005]: @spawn zombie_0001
07/20/2011 18:11:43 - Jessica[2000005]: @spawn zombie_000120
07/20/2011 18:11:53 - Jessica[2000005]: @spawn 20 zombie_0001
07/20/2011 18:12:00 - Jessica[2000005]: @spawn 20 zombie_0001
07/20/2011 18:12:01 - Jessica[2000005]: @spawn 20 zombie_0001
07/20/2011 18:12:01 - Jessica[2000005]: @spawn 20 zombie_0001
07/20/2011 18:12:02 - Jessica[2000005]: @spawn 20 zombie_0001
07/20/2011 18:12:02 - Jessica[2000005]: @spawn 20 zombie_0001
07/20/2011 18:12:07 - night_darkness[0]: @effect 334
07/20/2011 18:12:57 - night_darkness[0]: @effect 334
07/20/2011 18:14:07 - night_darkness[0]: @effect 334
07/20/2011 18:14:57 - night_darkness[0]: @effect 334
07/20/2011 18:16:07 - night_darkness[0]: @effect 334
07/20/2011 18:16:57 - night_darkness[0]: @effect 334
07/20/2011 18:17:04 - Epsensius[2000004]: @warp lavive_03 75 63
07/20/2011 18:18:07 - night_darkness[0]: @effect 334
07/20/2011 18:18:57 - night_darkness[0]: @effect 334
07/20/2011 18:20:07 - night_darkness[0]: @effect 334
07/20/2011 18:20:48 - Epsensius[2000004]: @warp lavive_10 70 10
07/20/2011 18:20:57 - night_darkness[0]: @effect 334
07/20/2011 18:22:07 - night_darkness[0]: @effect 334
07/20/2011 18:22:42 - Epsensius[2000004]: @warp la_fild01
07/20/2011 18:22:57 - night_darkness[0]: @effect 334
07/20/2011 18:23:38 - Epsensius[2000004]: @warp outpost
07/20/2011 18:23:42 - Epsensius[2000004]: @warp lavive_01
07/20/2011 18:24:08 - night_darkness[0]: @effect 334
07/20/2011 18:24:57 - night_darkness[0]: @effect 334
07/20/2011 18:26:08 - night_darkness[0]: @effect 334
07/20/2011 18:26:57 - night_darkness[0]: @effect 334
07/20/2011 18:28:08 - night_darkness[0]: @effect 334
07/20/2011 18:28:57 - night_darkness[0]: @effect 334
07/20/2011 18:30:08 - night_darkness[0]: @effect 334
07/20/2011 18:30:57 - night_darkness[0]: @effect 334
07/20/2011 18:32:08 - night_darkness[0]: @effect 334
07/20/2011 18:32:58 - night_darkness[0]: @effect 334
07/20/2011 18:34:08 - night_darkness[0]: @effect 334
